housing_type,bedrooms,bathrooms,guest_toilet,parking_space,district,address,rent_per_annum, district_code,local government
flat / apartment,3,3,0,3,ketu ikosi,"An Executive 3 Bedroom Flat At Demurin Road Off Ketu Ikorodu Road, Ketu, Lagos State.3 BEDROOM FLAT & APARTMENT FOR RENT On Demurin Rd Ketu Lagos 14 Sep 2022",1.50E+08,31,kosofe
flat / apartment,3,3,0,3,ikoyi,27 Units Of 3 Bedroom Flats In 3 Blocks Of 4 Storey BuildingBLOCK OF FLATS FOR RENT Boudilon Ikoyi Ikoyi Lagos   Updated Today,600000000,25,eti osa
flat / apartment,3,3,1,3,gbagada,"*direct Brief* 3bedrm Apartment Upstairs With Bq And 5,ac, Fitted Kitchen, In A Lovely Serene Environment (flat 2b). *location No 6 Lanre Olumide Street, Agungi East Estate, Agungi* *rent 3.5m Per Annum* *service Charge 600k Per Annum*3 BEDROOM FLAT & APARTMENT FOR RENT Gbagada Lagos 14 Sep 2022",350000000,13,kosofe
flat / apartment,3,3,0,3,lekki,3 Bedroom Property3 BEDROOM BLOCK OF FLATS FOR RENT Lekki Phase 1 Lekki Lagos 13 Jul 2022,350000000,35,eti osa
flat / apartment,3,3,0,3,lekki,3 Bedroom Property For Rent3 BEDROOM BLOCK OF FLATS FOR RENT Lekki Lagos 13 Jul 2022,350000000,35,eti osa
flat / apartment,2,2,0,2,apapa,"2 Blocks Of 8(nos) (3bedroom) Flats, 1 Block Of 6(nos) (2 Bedroom) Flats And 1 Storey Administrative Building.BLOCK OF FLATS FOR RENT Parklane,apapa Apapa Apapa Lagos   Updated 09 Oct 2022,  13 Sep 2022",270000000,9,apapa
flat / apartment,2,2,0,2,lekki,2 Bedroom Property2 BEDROOM BLOCK OF FLATS FOR RENT Lekki Lagos 21 Jul 2022,250000000,35,eti osa
flat / apartment,2,2,0,2,lekki,2 Bedroom Property2 BEDROOM BLOCK OF FLATS FOR RENT Lekki Phase 1 Lekki Lagos 21 Jul 2022,250000000,35,eti osa
flat / apartment,2,2,0,2,lekki,2 Bedroom Property2 BEDROOM BLOCK OF FLATS FOR RENT Lekki Phase 1 Lekki Lagos 21 Jul 2022,250000000,35,eti osa
flat / apartment,2,2,0,2,lekki,2 Bedroom Property2 BEDROOM BLOCK OF FLATS FOR RENT Lekki Phase 1 Lekki Lagos 21 Jul 2022,250000000,35,eti osa
flat / apartment,2,2,1,2,ketu ikosi,A Decent Specious Fantastic With P O P Ensuit 3 Bedroom Flat At Dairo Street Ikosi Ketu Lagos 2m Per Annum2 BEDROOM FLAT & APARTMENT FOR RENT Ketu Lagos 14 Sep 2022,200000000,31,kosofe
flat / apartment,2,2,1,2,ketu ogudu,A Decent Specious 2 Bedroom Flat With Rooms Insuite At Ogudu Beside The Gra 1.8m2 BEDROOM FLAT & APARTMENT FOR RENT Ketu Lagos 14 Sep 2022,180000000,32,kosofe
flat / apartment,2,2,1,2,ketu ikosi,"Decent 2bed Flat 1.5m In A Decent Environment In Alapere, Ketu Lagos2 BEDROOM FLAT & APARTMENT FOR RENT Alapere Ketu Lagos 14 Sep 2022",150000000,31,kosofe
mini flat (room and parlour) ,1,1,0,0,lekki,A Lovely Room And Parlour Mini Flat1 BEDROOM FLAT & APARTMENT FOR RENT Eletu Osapa London Lekki Lagos 12 Sep 2022,150000000,35,eti osa
mini flat (room and parlour) ,1,1,0,0,lekki,A Decent Room And Parlour Mini Flat1 BEDROOM FLAT & APARTMENT FOR RENT Eletu Osapa London Lekki Lagos 12 Sep 2022,150000000,35,eti osa
mini flat (room and parlour) ,1,1,0,0,lekki,An Executive Room And Parlour Mini Flat1 BEDROOM FLAT & APARTMENT FOR RENT Bera Estate Chevron Lekki Lagos 12 Sep 2022,150000000,35,eti osa
flat / apartment,2,2,1,2,yaba,A Newly Built Standard 2bedrooom With Pop Screeded Walls Prepaid Mater Gated Compound2 BEDROOM FLAT & APARTMENT FOR RENT Off Iwaya Road Very Accessable To The Island Iwaya Yaba Lagos 14 Sep 2022,130000000,52,lagos mainland
flat / apartment,2,2,1,2,ketu ikosi,"Spirit Newly Built 2bed Pop,wardrobe,modern Tiles, Dinning,glass Balcony, Massive Parlor, Kitchen Cabinet Carpark,lightning Carpark Floor Upstair 1.3m2 BEDROOM FLAT & APARTMENT FOR RENT Alapere Ketu Lagos 14 Sep 2022",130000000,31,kosofe
flat / apartment,3,3,1,3,gbagada,?? *fresh Letting* *3bedroom Flat Off Market Str. Shomolu* # 3toilet 2bath # Upstairs # Tiled *1.2million A Year Rent.3 BEDROOM FLAT & APARTMENT FOR RENT Gbagada Lagos 14 Sep 2022,120000000,13,kosofe
flat / apartment,3,3,1,3,ketu ikosi,"A Superb 3bedroom Flat, All Rooms Ensuite, Just 2 Tenants In The Compound, Full Pop Decor, All Bathrooms Have Water Heater, Ample Parking Space, Off Owoduni Street, Alapere For N1.2m3 BEDROOM FLAT & APARTMENT FOR RENT Alapere Ketu Lagos 14 Sep 2022",120000000,31,kosofe
